# normalized_time, B2_par, B2_perp, E2_par, E2_perp, two_stream_growth, oblique_growth, filamentation_growth
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
1.006230589874905074e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.864346517101288577e-06, 1.853873334715591276e-12, 1.001592256554135751e+00, 1.027939958918830499e+00, 1.045791938897896678e+00
2.012461179749810147e-01, 5.834351642897974297e-13, 1.223822889676548886e-06, 6.062463907884598457e-06, 7.909141196175213158e-07, 1.003187048389205804e+00, 1.056660559142046818e+00, 1.093680779463822139e+00
3.018691769624715082e-01, 1.707910656611154320e-12, 4.811724652773526671e-06, 4.504062512964412404e-06, 6.191686608959778183e-06, 1.004784379542027706e+00, 1.086183611755623835e+00, 1.143762542890833345e+00
4.024922359499620295e-01, 2.338293519713696046e-12, 5.783610758377928574e-06, 3.477194960473521344e-06, 9.438719974808419867e-06, 1.006384254055846750e+00, 1.116531537246382877e+00, 1.196137647368593404e+00
5.031152949374525507e-01, 2.828922155422393134e-12, 9.987140876505149381e-06, 4.955984125112838738e-06, 9.742578269824127860e-06, 1.007986675980346192e+00, 1.147727382528625384e+00, 1.250911109430369761e+00
6.037383539249430164e-01, 3.213663079064606010e-12, 9.682736265888669915e-06, 7.412141257307158490e-06, 1.023065768442143824e-05, 1.009591649371657462e+00, 1.179794838446492022e+00, 1.308192754520105527e+00
7.043614129124335932e-01, 3.573864957147870339e-12, 1.278223299180859641e-05, 6.761110038918999979e-06, 1.114442502636359855e-05, 1.011199178292370160e+00, 1.212758257765335079e+00, 1.368097437201761357e+00
8.049844718999240589e-01, 3.846810554685023922e-12, 1.347921599483286531e-05, 7.084958889644852306e-06, 1.397511947181494929e-05, 1.012809266811542930e+00, 1.246642673665770973e+00, 1.430745271452473322e+00
9.056075308874145247e-01, 4.257605622425516634e-12, 1.507483503183449579e-05, 7.452577059616947796e-06, 1.376779136894330899e-05, 1.014421919004713235e+00, 1.281473818754453431e+00, 1.496261871501279650e+00
1.006230589874905101e+00, 4.683421756503150644e-12, 1.710681717815117474e-05, 9.410979801079261188e-06, 1.471402374484014807e-05, 1.016037138953907348e+00, 1.317278144606009560e+00, 1.564778603696318715e+00
1.106853648862395678e+00, 5.272637012393618363e-12, 1.759277723106900145e-05, 9.849797604880253056e-06, 1.483412834818510794e-05, 1.017654930747652120e+00, 1.354082841850974717e+00, 1.636432849905516518e+00
1.207476707849886033e+00, 5.724318029476338431e-12, 2.081812478040778061e-05, 1.009514979002486519e-05, 1.678268295704380956e-05, 1.019275298480983860e+00, 1.391915860824984197e+00, 1.711368282978900757e+00
