# normalized_time, B2_par, B2_perp, E2_par, E2_perp, two_stream_growth, oblique_growth, filamentation_growth
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
5.511351921262150344e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.975582456963398438e-09, 4.921986480537261018e-13, 1.005317388251115940e+00, 1.027939958918830499e+00, 1.043339270946916475e+00
1.102270384252430069e-01, 2.508145221482268629e-14, 3.338891743228742080e-10, 7.907972168541445960e-09, 5.959030975068549748e-11, 1.010663051120044731e+00, 1.056660559142046818e+00, 1.088556834300043352e+00
1.653405576378645103e-01, 1.826010512661757486e-13, 1.858896519422704518e-09, 1.867942061245147675e-08, 6.401216149316279555e-10, 1.016037138953907348e+00, 1.086183611755624057e+00, 1.135734093882890594e+00
2.204540768504860138e-01, 5.388141042238660744e-13, 6.739637734830359365e-09, 5.052019672585214030e-08, 3.119335828310291629e-09, 1.021439802899278382e+00, 1.116531537246382877e+00, 1.184955981501331967e+00
2.755675960631075450e-01, 1.024962327801181144e-12, 1.866933269666362833e-08, 6.568564304038238712e-08, 1.074943094845279678e-08, 1.026871194906437079e+00, 1.147727382528625384e+00, 1.236311109843787559e+00
3.306811152757290206e-01, 1.506098153449845356e-12, 3.304890104467212576e-08, 8.704147887659257584e-08, 2.578396710311791395e-08, 1.032331467733641928e+00, 1.179794838446492022e+00, 1.289891932007990683e+00
3.857946344883504963e-01, 1.904105423057283771e-12, 4.711701661070448440e-08, 1.021760733121115783e-07, 4.714435744258789670e-08, 1.037820774951425884e+00, 1.212758257765335079e+00, 1.345794907941526564e+00
4.409081537009720275e-01, 2.237444047651478056e-12, 5.749253440380433055e-08, 9.937275200849118720e-08, 7.151485750913326647e-08, 1.043339270946916475e+00, 1.246642673665770973e+00, 1.404120678095785113e+00
4.960216729135935587e-01, 2.568663654187689667e-12, 6.295560723786117358e-08, 1.059998316600373004e-07, 9.393037339329588437e-08, 1.048887110928177435e+00, 1.281473818754453653e+00, 1.464974244605946607e+00
5.511351921262150899e-01, 2.938180177213652456e-12, 6.793411034233397064e-08, 1.013017623514264256e-07, 1.117352560726395900e-07, 1.054464450928573882e+00, 1.317278144606009782e+00, 1.528465160323178029e+00
6.062487113388365101e-01, 3.337597219784422925e-12, 7.034429043765468857e-08, 1.005740304236473807e-07, 1.244998432754248026e-07, 1.060071447811160805e+00, 1.354082841850974717e+00, 1.594707726039346518e+00
6.613622305514580413e-01, 3.728150103499619095e-12, 7.447591392641909858e-08, 1.005602566181009295e-07, 1.325634485403451649e-07, 1.065708259273095093e+00, 1.391915860824984197e+00, 1.663821196259306801e+00
7.164757497640795725e-01, 4.078218087478642414e-12, 7.716849965222285053e-08, 9.781815903148562140e-08, 1.382485323508350438e-07, 1.071375043850071096e+00, 1.430805932794902757e+00, 1.735929993891211831e+00
7.715892689767009927e-01, 4.385853899291232803e-12, 7.966850494396105586e-08, 9.875368073579686423e-08, 1.426502908055406578e-07, 1.077071960920778171e+00, 1.470782591778011072e+00, 1.811163934241342144e+00
8.267027881893225238e-01, 4.673631566737751132e-12, 8.207906875787127987e-08, 9.625416079332770424e-08, 1.471115356506015678e-07, 1.082799170711384651e+00, 1.511876196970819874e+00, 1.889658458716711120e+00
8.818163074019440550e-01, 4.964222354941581997e-12, 8.249320669506745678e-08, 9.611798384453439067e-08, 1.516901472655863676e-07, 1.088556834300043352e+00, 1.554117955804542150e+00, 1.971554878656167187e+00
9.369298266145655862e-01, 5.263409634786034020e-12, 8.515196580280492259e-08, 9.356705634511512851e-08, 1.562396575802371313e-07, 1.094345113621422172e+00, 1.597539947644737612e+00, 2.057000629728961805e+00
9.920433458271871174e-01, 5.559502127554478230e-12, 8.610006080708408353e-08, 9.125654152013145746e-08, 1.611510391184749954e-07, 1.100164171471258889e+00, 1.642175148153122155e+00, 2.146149537358763570e+00
